,fnr,flhC,srlR,lldR,soxR,mlrA,cspA,yeiL,tdcA,rcsB,zraR,nikR,ydeO,flhD,uxuR,fis,mazF,araC,rhaS,putA,fucR,rhaR,dcuR,nac,yiaJ,galS,puuR,nhaR,galR,crp,leuO,rcsA,purR,hns,gadW,hyfR,malI,exuR,bglJ,aidB,arcA,cadC,gutM,ompR,stpA,hdfR,lrp,oxyR,yqjI,adiY,metJ,soxS,narL,fhlA,idnR,evgA,melR,mazE,dpiA,gadE,xylR,rob,metR,ptsG,fliZ,mlc,fur,yjjQ,betI,asnC,gadX,marA
mean changed by 2,0.2209570421346045,0.04878272457953733,0.009725400457665925,0.15479895564217827,0.18688712608897115,0.022614766830884828,0.040024292707771886,0.05306294641020177,0.01698301698301696,0.04162685681033599,0.19992960153375586,0.17067054963712577,0.05096860050823106,0.0016025641025641038,0.10353314502092384,0.0016025641025641038,0.006332082551594731,0.09655731442275929,0.11009872176885374,0.008316008316008308,0.2577728670400267,0.09812041170991309,0.07630068591466702,0.07838548404524048,0.0016025641025641038,0.08690395398660232,0.0786760353744572,0.07939947838242743,0.08555930097452792,0.0032051282051282037,0.04515185178359514,0.0510776361073818,0.07309275055160752,0.023198809764408565,0.03226161336817619,0.03525779666920277,0.0016025641025641038,0.11188074109174995,0.03352631516336652,0.038598990353376314,0.24718843701283488,0.06552323694322586,0.020330927653582114,0.0016025641025641038,0.0262686452278681,0.04162685681033599,0.045017939373393226,0.0016025641025641038,0.1927907569000518,0.04162685681033599,0.07503525249410947,0.15565799984996584,0.24718843701283488,0.00547982177021575,0.17576728044581846,0.0894636476068453,0.2572762032431068,0.00656660412757973,0.0595185926044938,0.07755236942512836,0.030779425050258383,0.05735865239731119,0.03662967082338426,0.01863722697056028,0.03606542715324974,0.0016025641025641038,0.05533676828922769,0.04634682798387932,0.061195086600663445,0.020333106788238,0.0016025641025641038,0.01975051975051973
std changed by 2,0.2726004352349882,0.15499877825538314,0.04862700228832962,0.25800738646756183,0.28111671242101866,0.07035229321213739,0.1210235965043872,0.15968358053127318,0.05887988306440312,0.12075857408059854,0.2188878763830635,0.2405365918631469,0.12634463420589298,0.008012820512820516,0.18711268253431013,0.008012820512820516,0.03166041275797365,0.1717628403195647,0.1699885159287812,0.041580041580041534,0.2333116159774361,0.1632566179707343,0.11463525568842242,0.14990875475751503,0.008012820512820516,0.181270612349211,0.21341430540644735,0.14542467096012823,0.17984490903991776,0.01602564102564101,0.11963416382211126,0.13366829645181336,0.1972985916182488,0.07517711492070081,0.08496458215133544,0.10174370526021966,0.008012820512820516,0.2023181243608445,0.09778334043085532,0.1405459862980832,0.2746100861880985,0.14638937447027317,0.10165463826791056,0.008012820512820516,0.07430545156559479,0.12075857408059854,0.12545015437949675,0.008012820512820516,0.26167983887140683,0.12075857408059854,0.19681743184891298,0.24098321664740796,0.2746100861880985,0.019609919138962397,0.21306446492402614,0.1533657681907439,0.2251809137575881,0.03283302063789866,0.16707962395999856,0.19900078403402335,0.09083792948255269,0.08574591101142706,0.08249751701192225,0.05727322983939206,0.09681076517304628,0.008012820512820516,0.14435877534269342,0.11318600303742014,0.13073698664699332,0.0456727368092572,0.008012820512820516,0.09875259875259866
mean changed at 1,0.10667559364306488,0.013679547544089355,0.009725400457665925,0.11290691037559832,0.061420153888469345,0.017629011845129827,0.03717528985876904,0.011282261282261306,0.01698301698301696,0.018446926307751025,0.19992960153375586,0.10640670753368942,0.03539035724120059,0.0,0.10193058091835974,0.0016025641025641038,0.006332082551594731,0.06419094218895488,0.11009872176885374,0.0036382536382536385,0.2577728670400267,0.09812041170991309,0.03369717217626256,0.0435382501600048,0.0016025641025641038,0.08690395398660232,0.052173652560783094,0.07939947838242743,0.08555930097452792,0.0,0.020491919801008673,0.0411061261358718,0.01970292687910023,0.008487654320987643,0.018608175801695145,0.032230731142137245,0.0016025641025641038,0.11188074109174995,0.013619067567331711,0.038598990353376314,0.08774773434735071,0.03099394202815538,0.0,0.0016025641025641038,0.023419642378865256,0.018446926307751025,0.01946818613485277,0.0016025641025641038,0.0794317260313424,0.018446926307751025,0.01970292687910023,0.11366412771428633,0.08774773434735071,0.00547982177021575,0.17576728044581846,0.0894636476068453,0.2572762032431068,0.00656660412757973,0.03152937138818092,0.05348566057581082,0.0,0.025445308124301142,0.026936002562759777,0.009971509971509963,0.011350608960170705,0.0016025641025641038,0.009508501910359232,0.023590577538841674,0.05116164178460994,0.013702997580967411,0.0,0.006237006237006231
std changed at 1,0.20405443603563972,0.06260849360931202,0.04862700228832962,0.19880243863611316,0.1408240286081537,0.05214178572121352,0.11479701545308722,0.03969551466511929,0.05887988306440312,0.05949646415086209,0.2188878763830635,0.17567159573557545,0.10487403968224208,0.0,0.18781280907457135,0.008012820512820516,0.03166041275797365,0.15237144549094042,0.1699885159287812,0.01819126819126819,0.2333116159774361,0.1632566179707343,0.06847366380960783,0.09591129621011422,0.008012820512820516,0.181270612349211,0.16350862506190458,0.14542467096012823,0.17984490903991776,0.0,0.06853353014870602,0.1129348341889831,0.07120928734988048,0.03503211924238302,0.04683032918369696,0.09426365681914332,0.008012820512820516,0.2023181243608445,0.060853479661364465,0.1405459862980832,0.16592327225734158,0.09663298748886026,0.0,0.008012820512820516,0.06304414501542814,0.05949646415086209,0.07101742444620097,0.008012820512820516,0.16468983638114706,0.05949646415086209,0.07120928734988048,0.20529907048110516,0.16592327225734158,0.019609919138962397,0.21306446492402614,0.1533657681907439,0.2251809137575881,0.03283302063789866,0.08011896154870592,0.12458474499030703,0.0,0.05595330239183023,0.07497913996573749,0.049857549857549845,0.05005816346688049,0.008012820512820516,0.03586320340620876,0.07692409199069901,0.09285621479783306,0.03986007083573356,0.0,0.031185031185031138
