,gadX,fur,rob,bglJ,gadW,rhaS,fis,rhaR,ompR,putA,tdcA,zraR,cspA,metR,soxR,nhaR,yjjQ,ydeO,marR,leuO,ptsG,melR,xylR,adiY,fliZ,uxuR,malI,srlR,hns,arcA,dpiA,hdfR,yiaJ,aidB,nikR,purR,puuR,fnr,metJ,fucR,exuR,cadC,nac,galS,crp,idnR,csgD,lrp,marA,oxyR,flhD,glnG,gutM,yqjI,hyfR,araC,rcsA,prpR,dcuR,mazE,mazF,betI,evgA,mlrA,stpA,gadE,flhC,soxS,lldR,yeiL,rcsB,lsrR,asnC,galR,narL,mlc
mean changed by 2,0.10081485626338473,0.048608095726855906,0.0971155799262726,0.04894683325867895,0.0128429204483131,0.08499933288739607,0.003543021887731787,0.05863005646645869,0.003543021887731787,0.006151204070814527,0.07894171504354117,0.14450142489520149,0.11324431745601389,0.01759760476515797,0.13905478399351606,0.05370119377984168,0.05801101748209883,0.01213169732737408,0.02741339739360786,0.0252197026622829,0.03412898175699731,0.1384094830439697,0.028210627598305844,0.12143512671777422,0.03235190200610901,0.042866377335963254,0.002492877492877495,0.02465566528066527,0.12565932731975996,0.16721182391659678,0.03829240127003408,0.12143512671777422,0.002492877492877495,0.01244391125604762,0.14830199066329577,0.021190960795893513,0.10055626035819781,0.18463346600247774,0.05306039421709645,0.11582016246017598,0.039892977141235214,0.013575659378774706,0.0559348953029469,0.11662347957400036,0.0013217963303287538,0.1642353326919443,0.018935028553323355,0.016666750272701075,0.03111547100879669,0.0014062697509796484,0.07818546697114812,0.0014530643796855423,0.019912941787941806,0.10829581306253207,0.019459094236769562,0.038852155054885554,0.005336456854778775,0.003186896531606431,0.06308773571335641,0.014423076923076924,0.009242246901482563,0.05542718644613349,0.04315002506167773,0.03900313975515188,0.017395774551949135,0.02590420344546909,0.04560700489209159,0.12625409143328067,0.1498293255655657,0.03516976532440451,0.12143512671777422,0.0010501443948542923,0.05611069698552695,0.1047867008458482,0.16721182391659678,0.01821632852989507
std changed by 2,0.18350722139836342,0.09825747780004118,0.1591406530672143,0.12017158373515394,0.045910961007191914,0.15953177712792388,0.011752692859389326,0.12740039178770426,0.011752692859389326,0.022160622227500492,0.17328078752025536,0.20625754993978185,0.19964483546721692,0.06016754104659355,0.18755518546571534,0.13253603011623027,0.12493145801077522,0.04498799063777553,0.07137083922947808,0.07349544367294737,0.09604151838016506,0.2003726061676865,0.11749687120628359,0.19700926811281086,0.09380392025235391,0.12101525724589557,0.010760644536850527,0.1232783264033263,0.22672996951150776,0.187209798226411,0.10787043210388521,0.19700926811281086,0.010760644536850527,0.04111912411889575,0.20153266326492197,0.06734313755566287,0.15636779728524494,0.1784808130160136,0.11953478184292819,0.18236323241763006,0.11488576938612573,0.052110980158660454,0.14597951930743353,0.18447270875777314,0.004669114503375656,0.21630540517681093,0.08844649027999789,0.07208999973974015,0.09696108020277587,0.005476563419680396,0.16572691494245173,0.005221164559491194,0.09956470893970912,0.17459314408004606,0.06725444456132995,0.11783356576711017,0.022992090946940692,0.011714308645402917,0.1297059333958547,0.07211538461538464,0.04529404555789611,0.09183872788860842,0.1273203338868349,0.10985619479833984,0.06983411749816588,0.1037858347879859,0.11740774401648298,0.15053055467374746,0.18248206554825896,0.11112109913113438,0.19700926811281086,0.0052507219742714585,0.10872809104031855,0.1600467000126308,0.187209798226411,0.05641362750177394
mean changed at 1,0.08011691116712791,0.031040527080821164,0.07571253148112964,0.04364181926858424,0.0037787362248932134,0.08499933288739607,0.0003938041480703615,0.05863005646645869,0.0003938041480703615,0.0034564465989869804,0.07894171504354117,0.14450142489520149,0.030434737821498786,0.007884766927320127,0.0796677845551653,0.05370119377984168,0.04364181926858424,0.012089292103050441,0.01159627825967301,0.023478048090439647,0.026883628468555274,0.1384094830439697,0.028210627598305844,0.06421601280243731,0.03235190200610901,0.04072962519921112,0.0,0.01640462577962577,0.05359802372731269,0.08845138511365709,0.02425175492773737,0.06421601280243731,0.0,0.007636218948355315,0.07510726196387633,0.012135247278366608,0.03301000605893251,0.11367052832147162,0.031996766940418184,0.11582016246017598,0.03923663689445129,0.013575659378774706,0.035842039873553055,0.07891303523476442,0.0,0.1642353326919443,0.018935028553323355,0.0022436733496241524,0.028534423439596727,0.0003938041480703615,0.04592022034006898,0.0,0.0018840956340956346,0.04757852486805493,0.019459094236769562,0.03671540291813342,0.005336456854778775,0.0003938041480703615,0.02795823373181335,0.0,0.0,0.029527444147714674,0.04315002506167773,0.03283110233311446,0.017395774551949135,0.017692975893031107,0.029706925589950438,0.06328114257888874,0.08995717654250697,0.020638382236320384,0.06421601280243731,0.0003938041480703615,0.03994260581743579,0.06773259675339617,0.08845138511365709,0.009811288874855413
std changed at 1,0.1487232541240781,0.07912697304062853,0.14314461086193175,0.11715059941720754,0.011060414650899507,0.15953177712792388,0.0019690207403518065,0.12740039178770426,0.0019690207403518065,0.012511522649413931,0.17328078752025536,0.20625754993978185,0.09784843811957086,0.03761408578044365,0.1327913177385974,0.13253603011623027,0.11715059941720754,0.04493442152962933,0.026778889101021355,0.07299767220428315,0.08663865843995967,0.2003726061676865,0.11749687120628359,0.12544738987919815,0.09380392025235391,0.12126255799417014,0.0,0.08202312889812884,0.13489293869699526,0.12702815897289998,0.08647615511611323,0.12544738987919815,0.0,0.03444357585043665,0.14156179778603037,0.04821782004372371,0.05160494193812514,0.15100143944348807,0.08577602814896475,0.18236323241763006,0.11500450077161328,0.052110980158660454,0.11172859253029564,0.17353276232230594,0.0,0.21630540517681093,0.08844649027999789,0.007814135324823737,0.09484991477255064,0.0019690207403518065,0.09600633342159343,0.0,0.009420478170478173,0.10624397737376194,0.06725444456132995,0.11801487156421467,0.022992090946940692,0.0019690207403518065,0.07749176368621027,0.0,0.0,0.07017411669680082,0.1273203338868349,0.08420429290637961,0.06983411749816588,0.06355451456045595,0.09140430423580342,0.09494505408012209,0.14593175546402154,0.06084162200243636,0.12544738987919815,0.0019690207403518065,0.08921795978927287,0.14402015630128298,0.12702815897289998,0.048552128852788194
