,gadX,fur,rob,bglJ,gadW,rhaS,fis,rhaR,ompR,putA,tdcA,zraR,cspA,metR,soxR,nhaR,yjjQ,ydeO,marR,leuO,ptsG,melR,xylR,adiY,fliZ,uxuR,malI,srlR,hns,arcA,dpiA,hdfR,yiaJ,aidB,nikR,purR,puuR,fnr,metJ,fucR,exuR,cadC,nac,galS,crp,idnR,csgD,lrp,marA,oxyR,flhD,glnG,gutM,yqjI,hyfR,araC,rcsA,prpR,dcuR,mazE,mazF,betI,evgA,mlrA,stpA,gadE,flhC,soxS,lldR,yeiL,rcsB,lsrR,asnC,galR,narL,mlc
0.4-4,0.0,0.0,0.00480769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.163461538461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.163461538461538,0.0,0.0,0.0,0.0,0.163461538461538,0.0,0.0,0.25,0.0,0.456730769230769,0.0,0.0,0.163461538461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.245192307692308,0.0,0.0,0.115384615384615,0.0,0.0,0.0,0.0,0.0,0.245192307692308,0.25,0.0,0.0,0.0,0.25,0.0,0.163461538461538,0.0
0.6-0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.125,0.375,0.0,0.375,0.0,0.125,0.25,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.5,0.375,0.0,0.0,0.0,0.375,0.0
0.6-1,0.00462962962962963,0.0138888888888889,0.0138888888888889,0.0,0.00925925925925926,0.0,0.00925925925925926,0.0,0.00925925925925926,0.0,0.236111111111111,0.0,0.0138888888888889,0.00925925925925926,0.0462962962962963,0.217592592592593,0.0,0.00925925925925926,0.037037037037037,0.0,0.0,0.37962962962963,0.0,0.00925925925925926,0.0,0.0,0.00925925925925926,0.0,0.0,0.0138888888888889,0.0,0.00925925925925926,0.00925925925925926,0.00925925925925926,0.287037037037037,0.0462962962962963,0.328703703703704,0.365740740740741,0.0462962962962963,0.0,0.0,0.0,0.0138888888888889,0.361111111111111,0.0138888888888889,0.0,0.00462962962962963,0.00925925925925926,0.0,0.00925925925925926,0.00462962962962963,0.0138888888888889,0.0,0.0138888888888889,0.0,0.0,0.00925925925925926,0.0,0.0462962962962963,0.0,0.00462962962962963,0.328703703703704,0.0,0.0,0.00925925925925926,0.00925925925925926,0.0,0.037037037037037,0.365740740740741,0.00925925925925926,0.00925925925925926,0.0,0.375,0.361111111111111,0.0138888888888889,0.00925925925925926
0.6-2,0.0,0.0,0.280044101433297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0694597574421169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0407938257993385,0.0,0.0,0.0,0.0,0.0407938257993385,0.0,0.0,0.280044101433297,0.0,0.355016538037486,0.0,0.0,0.0407938257993385,0.30760749724366,0.0,0.331863285556781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0407938257993385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0694597574421169,0.0,0.0407938257993385,0.280044101433297,0.0,0.0,0.0,0.280044101433297,0.30760749724366,0.0407938257993385,0.0
0.6-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.412765957446808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.434042553191489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6-4,0.0,0.0,0.0,0.0,0.0099009900990099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0891089108910891,0.475247524752475,0.0,0.0099009900990099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0891089108910891,0.0,0.0,0.0,0.0099009900990099,0.0,0.0,0.0495049504950495,0.0495049504950495,0.0891089108910891,0.0,0.0,0.257425742574257,0.0,0.0,0.0,0.455445544554455,0.0,0.0099009900990099,0.0,0.0,0.0,0.0,0.0,0.0891089108910891,0.0,0.0,0.0099009900990099,0.0,0.0,0.0,0.0,0.0396039603960396,0.485148514851485,0.0,0.0,0.0099009900990099,0.0,0.0495049504950495,0.0,0.0,0.0,0.0,0.0,0.0,0.0891089108910891,0.0
0.8-0,0.423076923076923,0.0,0.0,0.0384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.346153846153846,0.0,0.0384615384615385,0.0,0.0,0.0384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.346153846153846,0.0,0.0,0.0,0.0,0.153846153846154,0.0,0.192307692307692,0.192307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.346153846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0384615384615385,0.192307692307692,0.0,0.0,0.0,0.0,0.346153846153846,0.192307692307692,0.0,0.0,0.0,0.0,0.0,0.346153846153846,0.0
0.8-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28125,0.0,0.0,0.0,0.0,0.40625,0.0,0.40625,0.40625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28125,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.28125,0.40625,0.0,0.0,0.0,0.0,0.0,0.28125,0.0
0.8-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8-3,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.4,0.55,0.0,0.3,0.0,0.0,0.45,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.05,0.05,0.0,0.3,0.0,0.05,0.0,0.55,0.0
0.8-4,0.0,0.0555555555555556,0.0,0.0,0.0,0.0,0.0555555555555556,0.0,0.0555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0555555555555556,0.0,0.0555555555555556,0.0555555555555556,0.0,0.0,0.0,0.0,0.0555555555555556,0.0555555555555556,0.0,0.0,0.0,0.0555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0555555555555556,0.0,0.0,0.0,0.0,0.0555555555555556,0.0,0.0555555555555556,0.0555555555555556,0.0,0.0,0.0,0.444444444444444,0.0,0.0555555555555556,0.0,0.0,0.0,0.0,0.0,0.0555555555555556,0.0,0.0555555555555556,0.0,0.0,0.0555555555555556
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
